"","Year","District","Electorate","ColNames","Votes","Percentage"
"1",1994,"Nuwara-Eliya","Nuwara-Eliya-Maskeliya","Mrs. Chandrika Bandaranaike Kumarathunga",94262,60.8
"2",1994,"Nuwara-Eliya","Nuwara-Eliya-Maskeliya","Mr. Galappaththi Arachchige Nihal",618,0.4
"3",1994,"Nuwara-Eliya","Nuwara-Eliya-Maskeliya","Mrs. Vajira Srimathi Dissanayake",53949,34.8
"4",1994,"Nuwara-Eliya","Nuwara-Eliya-Maskeliya","Mr. A.J. Ranashinge",590,0.4
"5",1994,"Nuwara-Eliya","Nuwara-Eliya-Maskeliya","Dr. Harischandra Wijayatunga",775,0.5
"6",1994,"Nuwara-Eliya","Nuwara-Eliya-Maskeliya","Mr. Hudson Samarasinghe",4897,3.2
"7",1994,"Nuwara-Eliya","Nuwara-Eliya-Maskeliya","Total No of Valid Votes",155091,95.4
"8",1994,"Nuwara-Eliya","Nuwara-Eliya-Maskeliya","No of Rejected Votes",7412,4.6
"9",1994,"Nuwara-Eliya","Nuwara-Eliya-Maskeliya","Total No of Votes Polled",162503,76.4
"10",1994,"Nuwara-Eliya","Nuwara-Eliya-Maskeliya","No of Registered Electors",212690,NA
"11",1994,"Nuwara-Eliya","Kotmale","Mrs. Chandrika Bandaranaike Kumarathunga",22034,51.6
"12",1994,"Nuwara-Eliya","Kotmale","Mr. Galappaththi Arachchige Nihal",142,0.3
"13",1994,"Nuwara-Eliya","Kotmale","Mrs. Vajira Srimathi Dissanayake",19708,46.1
"14",1994,"Nuwara-Eliya","Kotmale","Mr. A.J. Ranashinge",140,0.3
"15",1994,"Nuwara-Eliya","Kotmale","Dr. Harischandra Wijayatunga",137,0.3
"16",1994,"Nuwara-Eliya","Kotmale","Mr. Hudson Samarasinghe",555,1.3
"17",1994,"Nuwara-Eliya","Kotmale","Total No of Valid Votes",42716,96.3
"18",1994,"Nuwara-Eliya","Kotmale","No of Rejected Votes",1651,3.7
"19",1994,"Nuwara-Eliya","Kotmale","Total No of Votes Polled",44367,77.9
"20",1994,"Nuwara-Eliya","Kotmale","No of Registered Electors",56977,NA
"21",1994,"Nuwara-Eliya","Hanguranketha","Mrs. Chandrika Bandaranaike Kumarathunga",22917,52.9
"22",1994,"Nuwara-Eliya","Hanguranketha","Mr. Galappaththi Arachchige Nihal",96,0.2
"23",1994,"Nuwara-Eliya","Hanguranketha","Mrs. Vajira Srimathi Dissanayake",19609,45.3
"24",1994,"Nuwara-Eliya","Hanguranketha","Mr. A.J. Ranashinge",153,0.4
"25",1994,"Nuwara-Eliya","Hanguranketha","Dr. Harischandra Wijayatunga",162,0.4
"26",1994,"Nuwara-Eliya","Hanguranketha","Mr. Hudson Samarasinghe",350,0.8
"27",1994,"Nuwara-Eliya","Hanguranketha","Total No of Valid Votes",43287,97.3
"28",1994,"Nuwara-Eliya","Hanguranketha","No of Rejected Votes",1202,2.7
"29",1994,"Nuwara-Eliya","Hanguranketha","Total No of Votes Polled",44489,82.4
"30",1994,"Nuwara-Eliya","Hanguranketha","No of Registered Electors",54001,NA
"31",1994,"Nuwara-Eliya","Walapane","Mrs. Chandrika Bandaranaike Kumarathunga",26020,54.1
"32",1994,"Nuwara-Eliya","Walapane","Mr. Galappaththi Arachchige Nihal",178,0.4
"33",1994,"Nuwara-Eliya","Walapane","Mrs. Vajira Srimathi Dissanayake",20955,43.6
"34",1994,"Nuwara-Eliya","Walapane","Mr. A.J. Ranashinge",190,0.4
"35",1994,"Nuwara-Eliya","Walapane","Dr. Harischandra Wijayatunga",226,0.5
"36",1994,"Nuwara-Eliya","Walapane","Mr. Hudson Samarasinghe",509,1.1
"37",1994,"Nuwara-Eliya","Walapane","Total No of Valid Votes",48078,97
"38",1994,"Nuwara-Eliya","Walapane","No of Rejected Votes",1480,3
"39",1994,"Nuwara-Eliya","Walapane","Total No of Votes Polled",49558,78.7
"40",1994,"Nuwara-Eliya","Walapane","No of Registered Electors",63000,NA
"41",1994,"Nuwara-Eliya","Postal District Votes","Mrs. Chandrika Bandaranaike Kumarathunga",3696,57.2
"42",1994,"Nuwara-Eliya","Postal District Votes","Mr. Galappaththi Arachchige Nihal",10,0.2
"43",1994,"Nuwara-Eliya","Postal District Votes","Mrs. Vajira Srimathi Dissanayake",2707,41.9
"44",1994,"Nuwara-Eliya","Postal District Votes","Mr. A.J. Ranashinge",10,0.2
"45",1994,"Nuwara-Eliya","Postal District Votes","Dr. Harischandra Wijayatunga",32,0.5
"46",1994,"Nuwara-Eliya","Postal District Votes","Mr. Hudson Samarasinghe",3,0
"47",1994,"Nuwara-Eliya","Postal District Votes","Total No of Valid Votes",6458,98.6
"48",1994,"Nuwara-Eliya","Postal District Votes","No of Rejected Votes",95,1.4
"49",1994,"Nuwara-Eliya","Postal District Votes","Total No of Votes Polled",6553,95.3
"50",1994,"Nuwara-Eliya","Postal District Votes","No of Registered Electors",6877,NA
"51",1994,"Nuwara-Eliya","Final District Results","Mrs. Chandrika Bandaranaike Kumarathunga",168929,57.1
"52",1994,"Nuwara-Eliya","Final District Results","Mr. Galappaththi Arachchige Nihal",1044,0.4
"53",1994,"Nuwara-Eliya","Final District Results","Mrs. Vajira Srimathi Dissanayake",116928,39.6
"54",1994,"Nuwara-Eliya","Final District Results","Mr. A.J. Ranashinge",1083,0.4
"55",1994,"Nuwara-Eliya","Final District Results","Dr. Harischandra Wijayatunga",1332,0.5
"56",1994,"Nuwara-Eliya","Final District Results","Mr. Hudson Samarasinghe",6314,2.1
"57",1994,"Nuwara-Eliya","Final District Results","Total No of Valid Votes",295630,96.1
"58",1994,"Nuwara-Eliya","Final District Results","No of Rejected Votes",11840,3.9
"59",1994,"Nuwara-Eliya","Final District Results","Total No of Votes Polled",307470,79.5
"60",1994,"Nuwara-Eliya","Final District Results","No of Registered Electors",386668,NA
"61",1994,"Colombo","Colombo-North","Mrs. Chandrika Bandaranaike Kumarathunga",26250,61.6
"62",1994,"Colombo","Colombo-North","Mr. Galappaththi Arachchige Nihal",75,0.2
"63",1994,"Colombo","Colombo-North","Mrs. Vajira Srimathi Dissanayake",15924,37.4
"64",1994,"Colombo","Colombo-North","Mr. A.J. Ranashinge",103,0.2
"65",1994,"Colombo","Colombo-North","Dr. Harischandra Wijayatunga",118,0.3
"66",1994,"Colombo","Colombo-North","Mr. Hudson Samarasinghe",138,0.3
