"","Year","District","Electorate","ColNames","Votes","Percentage"
"1",2010,"Colombo","Colombo-North","Sarath Fonseka",42896,69.51
"2",2010,"Colombo","Colombo-North","Mahinda Rajapaksha",17605,28.53
"3",2010,"Colombo","Colombo-North","Channa Janaka Sugathsiri Gamage",222,0.36
"4",2010,"Colombo","Colombo-North","Mohomad Cassim Mohomad Ismail",197,0.32
"5",2010,"Colombo","Colombo-North","Vickramabahu Karunaratna",112,0.18
"6",2010,"Colombo","Colombo-North","Panagoda Don Prince Soloman Anura Liyanage",99,0.16
"7",2010,"Colombo","Colombo-North","Sarath Manamendra",89,0.14
"8",2010,"Colombo","Colombo-North","M K Sivajilingam",86,0.14
"9",2010,"Colombo","Colombo-North","Lal Perera",80,0.13
"10",2010,"Colombo","Colombo-North","Achala Ashoka Suraweera",72,0.12
"11",2010,"Colombo","Colombo-North","W V Mahiman Ranjith",57,0.09
"12",2010,"Colombo","Colombo-North","Sirithunga Jayasuriya",43,0.07
"13",2010,"Colombo","Colombo-North","Wije Dias",32,0.05
"14",2010,"Colombo","Colombo-North","Idroos Mohomad Ilyas",29,0.05
"15",2010,"Colombo","Colombo-North","Ukkubanda Wijekoon",26,0.04
"16",2010,"Colombo","Colombo-North","Muthu Bandara Theminimulla",14,0.02
"17",2010,"Colombo","Colombo-North","Sanath Pinnaduwa",12,0.02
"18",2010,"Colombo","Colombo-North","Upali Sarath Kongahage",10,0.02
"19",2010,"Colombo","Colombo-North","Mohamed Musthaffa",10,0.02
"20",2010,"Colombo","Colombo-North","Battaramulle Seelarathana Thero",9,0.01
"21",2010,"Colombo","Colombo-North","Senaratna de Silva",8,0.01
"22",2010,"Colombo","Colombo-North","Aruna de Zoysa",7,0.01
"23",2010,"Colombo","Colombo-North","Total No of Valid Votes",61715,98.37
"24",2010,"Colombo","Colombo-North","No of Rejected Votes",1022,1.63
"25",2010,"Colombo","Colombo-North","Total No of Votes Polled",62737,65.77
"26",2010,"Colombo","Colombo-North","No of Registered Electors",95385,NA
"27",2010,"Colombo","Colombo-Central","Sarath Fonseka",73152,75.55
"28",2010,"Colombo","Colombo-Central","Mahinda Rajapaksha",21824,22.54
"29",2010,"Colombo","Colombo-Central","Channa Janaka Sugathsiri Gamage",387,0.4
"30",2010,"Colombo","Colombo-Central","Mohomad Cassim Mohomad Ismail",259,0.27
"31",2010,"Colombo","Colombo-Central","Panagoda Don Prince Soloman Anura Liyanage",170,0.18
"32",2010,"Colombo","Colombo-Central","Lal Perera",134,0.14
"33",2010,"Colombo","Colombo-Central","Vickramabahu Karunaratna",113,0.12
"34",2010,"Colombo","Colombo-Central","Sarath Manamendra",105,0.11
"35",2010,"Colombo","Colombo-Central","Achala Ashoka Suraweera",96,0.1
"36",2010,"Colombo","Colombo-Central","Sirithunga Jayasuriya",86,0.09
"37",2010,"Colombo","Colombo-Central","M K Sivajilingam",81,0.08
"38",2010,"Colombo","Colombo-Central","Idroos Mohomad Ilyas",73,0.08
"39",2010,"Colombo","Colombo-Central","W V Mahiman Ranjith",67,0.07
"40",2010,"Colombo","Colombo-Central","Ukkubanda Wijekoon",49,0.05
"41",2010,"Colombo","Colombo-Central","Sanath Pinnaduwa",45,0.05
"42",2010,"Colombo","Colombo-Central","Wije Dias",32,0.03
"43",2010,"Colombo","Colombo-Central","Mohamed Musthaffa",30,0.03
"44",2010,"Colombo","Colombo-Central","Upali Sarath Kongahage",29,0.03
"45",2010,"Colombo","Colombo-Central","Aruna de Zoysa",25,0.03
"46",2010,"Colombo","Colombo-Central","Muthu Bandara Theminimulla",23,0.02
"47",2010,"Colombo","Colombo-Central","Battaramulle Seelarathana Thero",23,0.02
"48",2010,"Colombo","Colombo-Central","Senaratna de Silva",23,0.02
"49",2010,"Colombo","Colombo-Central","Total No of Valid Votes",96826,98.66
"50",2010,"Colombo","Colombo-Central","No of Rejected Votes",1320,1.34
"51",2010,"Colombo","Colombo-Central","Total No of Votes Polled",98146,70.19
"52",2010,"Colombo","Colombo-Central","No of Registered Electors",139822,NA
"53",2010,"Colombo","Borella","Sarath Fonseka",23636,57.46
"54",2010,"Colombo","Borella","Mahinda Rajapaksha",16909,41.11
"55",2010,"Colombo","Borella","Panagoda Don Prince Soloman Anura Liyanage",109,0.27
