"","Year","District","Electorate","ColNames","Votes","Percentage"
"1",1999,"Colombo","Colombo-North","Abdul Rasool",163,0.31
"2",1999,"Colombo","Colombo-North","Alwis Weerakkody Premawardhana",11,0.02
"3",1999,"Colombo","Colombo-North","Ariyawansha Dissanayaka",14,0.03
"4",1999,"Colombo","Colombo-North","M.D. Nandana Gunathilaka",1281,2.41
"5",1999,"Colombo","Colombo-North","Kamal Karunadasa",46,0.09
"6",1999,"Colombo","Colombo-North","Chandrika Bandaranaike Kumaratunga",18114,34.07
"7",1999,"Colombo","Colombo-North","Tennyson Edirisuriya",86,0.16
"8",1999,"Colombo","Colombo-North","W.V.M. Ranjith",95,0.18
"9",1999,"Colombo","Colombo-North","Ranil Wickramasinghe",32714,61.53
"10",1999,"Colombo","Colombo-North","Rajiva Wijesinha",94,0.18
"11",1999,"Colombo","Colombo-North","Vasudeva Nanayakkara",408,0.77
"12",1999,"Colombo","Colombo-North","Hudson Samarasinghe",26,0.05
"13",1999,"Colombo","Colombo-North","Harishchandra Wijayatunga",115,0.22
"14",1999,"Colombo","Colombo-North","Total No of Valid Votes",53167,97.42
"15",1999,"Colombo","Colombo-North","No of Rejected Votes",1409,2.58
"16",1999,"Colombo","Colombo-North","Total No of Votes Polled",54576,70.47
"17",1999,"Colombo","Colombo-North","No of Registered Electors",77447,NA
"18",1999,"Colombo","Colombo-Central","Abdul Rasool",630,0.64
"19",1999,"Colombo","Colombo-Central","Alwis Weerakkody Premawardhana",24,0.02
"20",1999,"Colombo","Colombo-Central","Ariyawansha Dissanayaka",26,0.03
"21",1999,"Colombo","Colombo-Central","M.D. Nandana Gunathilaka",1955,1.98
"22",1999,"Colombo","Colombo-Central","Kamal Karunadasa",82,0.08
"23",1999,"Colombo","Colombo-Central","Chandrika Bandaranaike Kumaratunga",35416,35.94
"24",1999,"Colombo","Colombo-Central","Tennyson Edirisuriya",104,0.11
"25",1999,"Colombo","Colombo-Central","W.V.M. Ranjith",178,0.18
"26",1999,"Colombo","Colombo-Central","Ranil Wickramasinghe",59234,60.11
"27",1999,"Colombo","Colombo-Central","Rajiva Wijesinha",137,0.14
"28",1999,"Colombo","Colombo-Central","Vasudeva Nanayakkara",424,0.43
"29",1999,"Colombo","Colombo-Central","Hudson Samarasinghe",53,0.05
"30",1999,"Colombo","Colombo-Central","Harishchandra Wijayatunga",272,0.28
"31",1999,"Colombo","Colombo-Central","Total No of Valid Votes",98535,97.42
"32",1999,"Colombo","Colombo-Central","No of Rejected Votes",2605,2.58
"33",1999,"Colombo","Colombo-Central","Total No of Votes Polled",101140,70.24
"34",1999,"Colombo","Colombo-Central","No of Registered Electors",143993,NA
