"","Year","District","Electorate","ColNames","Votes","Percentage"
"76",2005,"Colombo","Colombo-West","Victor Hettigoda",129,0.5
"77",2005,"Colombo","Colombo-West","Hewaheenipallage Shantha Dharmadwaja",1,0
"78",2005,"Colombo","Colombo-West","Total No of Valid Votes",25865,98.48
"79",2005,"Colombo","Colombo-West","No of Rejected Votes",399,1.52
"80",2005,"Colombo","Colombo-West","Total No of Votes Polled",26264,68
"81",2005,"Colombo","Dehiwala","Wimal Geeganage",13,0.03
"82",2005,"Colombo","Dehiwala","Chamil Jayaneththi",34,0.08
"83",2005,"Colombo","Dehiwala","Ajith Kumara Jayaweera Arachchige",15,0.03
"84",2005,"Colombo","Dehiwala","Siritunga Jayasuriya",67,0.16
"85",2005,"Colombo","Dehiwala","P. Nelson Perera",5,0.01
"86",2005,"Colombo","Dehiwala","Wije Dias",19,0.04
"87",2005,"Colombo","Dehiwala","Anura De Silva",20,0.05
"88",2005,"Colombo","Dehiwala","Aruna de Soyza",19,0.04
"89",2005,"Colombo","Dehiwala","Mahinda Rajapaksha",18005,41.8
"90",2005,"Colombo","Dehiwala","Ranil Wickramasinghe",24660,57.25
"91",2005,"Colombo","Dehiwala","Achala Ashoka Suraweera",57,0.13
"92",2005,"Colombo","Dehiwala","Victor Hettigoda",158,0.37
"93",2005,"Colombo","Dehiwala","Hewaheenipallage Shantha Dharmadwaja",5,0.01
"94",2005,"Colombo","Dehiwala","Total No of Valid Votes",43077,99.15
"95",2005,"Colombo","Dehiwala","No of Rejected Votes",369,0.85
"96",2005,"Colombo","Dehiwala","Total No of Votes Polled",43446,73.98
"97",2005,"Colombo","Colombo-North","No of Registered Electors",85967,NA
"98",2005,"Colombo","Colombo-Central","No of Registered Electors",144916,NA
"99",2005,"Colombo","Borella","No of Registered Electors",60678,NA
"100",2005,"Colombo","Colombo-East","No of Registered Electors",65732,NA
"101",2005,"Colombo","Colombo-West","No of Registered Electors",38621,NA
"102",2005,"Colombo","Dehiwala","No of Registered Electors",58728,NA
"103",2005,"Colombo","Ratmalana","Wimal Geeganage",22,0.04
"104",2005,"Colombo","Ratmalana","Chamil Jayaneththi",36,0.07
"105",2005,"Colombo","Ratmalana","Ajith Kumara Jayaweera Arachchige",16,0.03
"106",2005,"Colombo","Ratmalana","Siritunga Jayasuriya",92,0.19
"107",2005,"Colombo","Ratmalana","P. Nelson Perera",3,0.01
"108",2005,"Colombo","Ratmalana","Wije Dias",17,0.03
"109",2005,"Colombo","Ratmalana","Anura De Silva",26,0.05
"110",2005,"Colombo","Ratmalana","Aruna de Soyza",23,0.05
"111",2005,"Colombo","Ratmalana","Mahinda Rajapaksha",25004,50.84
"112",2005,"Colombo","Ratmalana","Ranil Wickramasinghe",23743,48.28
"113",2005,"Colombo","Ratmalana","Achala Ashoka Suraweera",76,0.15
"114",2005,"Colombo","Ratmalana","Victor Hettigoda",121,0.25
"115",2005,"Colombo","Ratmalana","Hewaheenipallage Shantha Dharmadwaja",2,0
"116",2005,"Colombo","Ratmalana","Total No of Valid Votes",49181,98.88
"117",2005,"Colombo","Ratmalana","No of Rejected Votes",557,1.12
