"","Year","District","Electorate","ColNames","Votes","Percentage"
"1",2015,"Colombo","Colombo-North","Aithurus Mohamed Illias",59,0.09
"2",2015,"Colombo","Colombo-North","Ibrahim Miflar",90,0.13
"3",2015,"Colombo","Colombo-North","Prasanna Priyankara",15,0.02
"4",2015,"Colombo","Colombo-North","Wimal Geeganage",9,0.01
"5",2015,"Colombo","Colombo-North","Sirithunga Jayasuriya",50,0.07
"6",2015,"Colombo","Colombo-North","M. B. Theminimulla",17,0.02
"7",2015,"Colombo","Colombo-North","Pani Wijesiriwardane",29,0.04
"8",2015,"Colombo","Colombo-North","Duminda Nagamuwa",39,0.06
"9",2015,"Colombo","Colombo-North","Panagoda Don Prince Soloman Anura Liyanage",101,0.15
"10",2015,"Colombo","Colombo-North","Maithripala Sirisena",51537,75.07
"11",2015,"Colombo","Colombo-North","Ruwanthilaka Peduru Arachchi",75,0.11
"12",2015,"Colombo","Colombo-North","Anuruddha Polgampala",25,0.04
"13",2015,"Colombo","Colombo-North","Baththaramulle Seelarathana Thero",10,0.01
"14",2015,"Colombo","Colombo-North","Sarath Manamendra",25,0.04
"15",2015,"Colombo","Colombo-North","Arachchige Rathnayaka Sirisena",61,0.09
"16",2015,"Colombo","Colombo-North","Mahinda Rajapaksha",16423,23.92
"17",2015,"Colombo","Colombo-North","Namal Rajapaksa",48,0.07
"18",2015,"Colombo","Colombo-North","Sundaram Mahendran",28,0.04
"19",2015,"Colombo","Colombo-North","Jayantha Kulathunga",8,0.01
"20",2015,"Colombo","Colombo-North","Total No of Valid Votes",68649,98.36
"21",2015,"Colombo","Colombo-North","No of Rejected Votes",1146,1.64
"22",2015,"Colombo","Colombo-North","Total No of Votes Polled",69795,77.75
"23",2015,"Colombo","Colombo-North","No of Registered Electors",89771,NA
"24",2015,"Colombo","Colombo-Central","Aithurus Mohamed Illias",120,0.12
"25",2015,"Colombo","Colombo-Central","Ibrahim Miflar",298,0.29
"26",2015,"Colombo","Colombo-Central","Prasanna Priyankara",19,0.02
"27",2015,"Colombo","Colombo-Central","Wimal Geeganage",17,0.02
"28",2015,"Colombo","Colombo-Central","Sirithunga Jayasuriya",69,0.07
"29",2015,"Colombo","Colombo-Central","M. B. Theminimulla",26,0.03
"30",2015,"Colombo","Colombo-Central","Pani Wijesiriwardane",32,0.03
"31",2015,"Colombo","Colombo-Central","Duminda Nagamuwa",59,0.06
"32",2015,"Colombo","Colombo-Central","Panagoda Don Prince Soloman Anura Liyanage",185,0.18
"33",2015,"Colombo","Colombo-Central","Maithripala Sirisena",82495,81.28
"34",2015,"Colombo","Colombo-Central","Ruwanthilaka Peduru Arachchi",131,0.13
"35",2015,"Colombo","Colombo-Central","Anuruddha Polgampala",44,0.04
"36",2015,"Colombo","Colombo-Central","Baththaramulle Seelarathana Thero",22,0.02
"37",2015,"Colombo","Colombo-Central","Sarath Manamendra",43,0.04
"38",2015,"Colombo","Colombo-Central","Arachchige Rathnayaka Sirisena",73,0.07
"39",2015,"Colombo","Colombo-Central","Mahinda Rajapaksha",17779,17.52
"40",2015,"Colombo","Colombo-Central","Namal Rajapaksa",39,0.04
"41",2015,"Colombo","Colombo-Central","Sundaram Mahendran",25,0.02
"42",2015,"Colombo","Colombo-Central","Jayantha Kulathunga",21,0.02
"43",2015,"Colombo","Colombo-Central","Total No of Valid Votes",101497,98.8
"44",2015,"Colombo","Colombo-Central","No of Rejected Votes",1237,1.2
"45",2015,"Colombo","Colombo-Central","Total No of Votes Polled",102734,78.14
"46",2015,"Colombo","Colombo-Central","No of Registered Electors",131482,NA
"47",2015,"Colombo","Borella","Aithurus Mohamed Illias",31,0.07
"48",2015,"Colombo","Borella","Ibrahim Miflar",36,0.08
"49",2015,"Colombo","Borella","Prasanna Priyankara",5,0.01
"50",2015,"Colombo","Borella","Wimal Geeganage",2,0
"51",2015,"Colombo","Borella","Sirithunga Jayasuriya",21,0.04
"52",2015,"Colombo","Borella","M. B. Theminimulla",15,0.03
"53",2015,"Colombo","Borella","Pani Wijesiriwardane",16,0.03
"54",2015,"Colombo","Borella","Duminda Nagamuwa",22,0.05
"55",2015,"Colombo","Borella","Panagoda Don Prince Soloman Anura Liyanage",78,0.17
"56",2015,"Colombo","Borella","Maithripala Sirisena",31469,66.97
"57",2015,"Colombo","Borella","Ruwanthilaka Peduru Arachchi",37,0.08
"58",2015,"Colombo","Borella","Anuruddha Polgampala",7,0.01
"59",2015,"Colombo","Borella","Baththaramulle Seelarathana Thero",16,0.03
"60",2015,"Colombo","Borella","Sarath Manamendra",7,0.01
"61",2015,"Colombo","Borella","Arachchige Rathnayaka Sirisena",37,0.08
"62",2015,"Colombo","Borella","Mahinda Rajapaksha",15148,32.24
"63",2015,"Colombo","Borella","Namal Rajapaksa",30,0.06
"64",2015,"Colombo","Borella","Sundaram Mahendran",10,0.02
