"","Year","District","Electorate","ColNames","Votes","Percentage"
"1",1988,"Colombo","Colombo-North","Mr.Ranasinghe Premadasa",22389,63.26
"2",1988,"Colombo","Colombo-North","Mrs.Sirimavo Ratwatte Dias Bandaranaike",10744,30.36
"3",1988,"Colombo","Colombo-North","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",2259,6.38
"4",1988,"Colombo","Colombo-North","Total No of Valid Votes",35392,98.2
"5",1988,"Colombo","Colombo-North","No of Rejected Votes",647,1.8
"6",1988,"Colombo","Colombo-North","Total No of Votes Polled",36039,66.56
"7",1988,"Colombo","Colombo-North","No of Registered Electors",54149,NA
"8",1988,"Colombo","Colombo-Central","Mr.Ranasinghe Premadasa",58795,65.77
"9",1988,"Colombo","Colombo-Central","Mrs.Sirimavo Ratwatte Dias Bandaranaike",26083,29.18
"10",1988,"Colombo","Colombo-Central","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",4521,5.06
"11",1988,"Colombo","Colombo-Central","Total No of Valid Votes",89399,98.27
"12",1988,"Colombo","Colombo-Central","No of Rejected Votes",1572,1.73
"13",1988,"Colombo","Colombo-Central","Total No of Votes Polled",90971,67.93
"14",1988,"Colombo","Colombo-Central","No of Registered Electors",133920,NA
"15",1988,"Colombo","Borella","Mr.Ranasinghe Premadasa",16452,52.67
"16",1988,"Colombo","Borella","Mrs.Sirimavo Ratwatte Dias Bandaranaike",13083,41.88
"17",1988,"Colombo","Borella","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",1702,5.45
"18",1988,"Colombo","Borella","Total No of Valid Votes",31237,98.43
"19",1988,"Colombo","Borella","No of Rejected Votes",499,1.57
"20",1988,"Colombo","Borella","Total No of Votes Polled",31736,66.23
"21",1988,"Colombo","Borella","No of Registered Electors",47917,NA
"22",1988,"Colombo","Colombo-East","Mr.Ranasinghe Premadasa",16480,51.09
"23",1988,"Colombo","Colombo-East","Mrs.Sirimavo Ratwatte Dias Bandaranaike",13477,41.78
"24",1988,"Colombo","Colombo-East","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",2298,7.12
"25",1988,"Colombo","Colombo-East","Total No of Valid Votes",32255,97.98
"26",1988,"Colombo","Colombo-East","No of Rejected Votes",666,2.02
"27",1988,"Colombo","Colombo-East","Total No of Votes Polled",32921,64.27
"28",1988,"Colombo","Colombo-East","No of Registered Electors",51225,NA
"29",1988,"Colombo","Colombo-West","Mr.Ranasinghe Premadasa",14670,62.36
"30",1988,"Colombo","Colombo-West","Mrs.Sirimavo Ratwatte Dias Bandaranaike",7473,31.77
"31",1988,"Colombo","Colombo-West","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",1380,5.87
"32",1988,"Colombo","Colombo-West","Total No of Valid Votes",23523,98.57
"33",1988,"Colombo","Colombo-West","No of Rejected Votes",342,1.43
"34",1988,"Colombo","Colombo-West","Total No of Votes Polled",23865,64.12
"35",1988,"Colombo","Colombo-West","No of Registered Electors",37220,NA
"36",1988,"Colombo","Dehiwala","Mr.Ranasinghe Premadasa",18326,50.03
"37",1988,"Colombo","Dehiwala","Mrs.Sirimavo Ratwatte Dias Bandaranaike",16599,45.31
"38",1988,"Colombo","Dehiwala","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",1707,4.66
"39",1988,"Colombo","Dehiwala","Total No of Valid Votes",36632,98.6
"40",1988,"Colombo","Dehiwala","No of Rejected Votes",520,1.4
"41",1988,"Colombo","Dehiwala","Total No of Votes Polled",37152,70.14
"42",1988,"Colombo","Dehiwala","No of Registered Electors",52969,NA
"43",1988,"Colombo","Ratmalana","Mr.Ranasinghe Premadasa",18409,47.82
"44",1988,"Colombo","Ratmalana","Mrs.Sirimavo Ratwatte Dias Bandaranaike",18308,47.55
"45",1988,"Colombo","Ratmalana","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",1783,4.63
"46",1988,"Colombo","Ratmalana","Total No of Valid Votes",38500,98.51
"47",1988,"Colombo","Ratmalana","No of Rejected Votes",584,1.49
"48",1988,"Colombo","Ratmalana","Total No of Votes Polled",39084,70.74
"49",1988,"Colombo","Ratmalana","No of Registered Electors",55248,NA
"50",1988,"Colombo","Kolonnawa","Mr.Ranasinghe Premadasa",23895,46.53
"51",1988,"Colombo","Kolonnawa","Mrs.Sirimavo Ratwatte Dias Bandaranaike",25050,48.78
"52",1988,"Colombo","Kolonnawa","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",2411,4.69
"53",1988,"Colombo","Kolonnawa","Total No of Valid Votes",51356,98.37
"54",1988,"Colombo","Kolonnawa","No of Rejected Votes",849,1.63
"55",1988,"Colombo","Kolonnawa","Total No of Votes Polled",52205,69.01
"56",1988,"Colombo","Kolonnawa","No of Registered Electors",75650,NA
"57",1988,"Colombo","Kotte","Mr.Ranasinghe Premadasa",18834,43.19
"58",1988,"Colombo","Kotte","Mrs.Sirimavo Ratwatte Dias Bandaranaike",22607,51.85
"59",1988,"Colombo","Kotte","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",2163,4.96
"60",1988,"Colombo","Kotte","Total No of Valid Votes",43604,98.73
"61",1988,"Colombo","Kotte","No of Rejected Votes",563,1.27
"62",1988,"Colombo","Kotte","Total No of Votes Polled",44167,65.73
"63",1988,"Colombo","Kotte","No of Registered Electors",67194,NA
"64",1988,"Colombo","Kaduwela","Mr.Ranasinghe Premadasa",22872,41.15
"65",1988,"Colombo","Kaduwela","Mrs.Sirimavo Ratwatte Dias Bandaranaike",30600,55.06
"66",1988,"Colombo","Kaduwela","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",2108,3.79
"67",1988,"Colombo","Kaduwela","Total No of Valid Votes",55580,98.57
"68",1988,"Colombo","Kaduwela","No of Rejected Votes",806,1.43
"69",1988,"Colombo","Kaduwela","Total No of Votes Polled",56386,64.3
"70",1988,"Colombo","Kaduwela","No of Registered Electors",87693,NA
"71",1988,"Colombo","Avissawella","Mr.Ranasinghe Premadasa",24292,49.36
"72",1988,"Colombo","Avissawella","Mrs.Sirimavo Ratwatte Dias Bandaranaike",23721,48.2
"73",1988,"Colombo","Avissawella","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",1199,2.44
"74",1988,"Colombo","Avissawella","Total No of Valid Votes",49212,98.86
"75",1988,"Colombo","Avissawella","No of Rejected Votes",570,1.14
"76",1988,"Colombo","Avissawella","Total No of Votes Polled",49782,72.26
"77",1988,"Colombo","Avissawella","No of Registered Electors",68892,NA
"78",1988,"Colombo","Homagama","Mr.Ranasinghe Premadasa",20810,41.53
"79",1988,"Colombo","Homagama","Mrs.Sirimavo Ratwatte Dias Bandaranaike",27570,55.02
"80",1988,"Colombo","Homagama","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",1730,3.45
"81",1988,"Colombo","Homagama","Total No of Valid Votes",50110,98.66
"82",1988,"Colombo","Homagama","No of Rejected Votes",679,1.34
"83",1988,"Colombo","Homagama","Total No of Votes Polled",50789,58.39
"84",1988,"Colombo","Homagama","No of Registered Electors",86987,NA
"85",1988,"Colombo","Maharagama","Mr.Ranasinghe Premadasa",20770,38.16
"86",1988,"Colombo","Maharagama","Mrs.Sirimavo Ratwatte Dias Bandaranaike",31396,57.69
"87",1988,"Colombo","Maharagama","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",2260,4.15
"88",1988,"Colombo","Maharagama","Total No of Valid Votes",54426,98.59
"89",1988,"Colombo","Maharagama","No of Rejected Votes",779,1.41
"90",1988,"Colombo","Maharagama","Total No of Votes Polled",55205,66.04
"91",1988,"Colombo","Maharagama","No of Registered Electors",83598,NA
"92",1988,"Colombo","Kesbewa","Mr.Ranasinghe Premadasa",25549,40.58
"93",1988,"Colombo","Kesbewa","Mrs.Sirimavo Ratwatte Dias Bandaranaike",35184,55.88
"94",1988,"Colombo","Kesbewa","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",2228,3.54
"95",1988,"Colombo","Kesbewa","Total No of Valid Votes",62961,98.62
"96",1988,"Colombo","Kesbewa","No of Rejected Votes",879,1.38
"97",1988,"Colombo","Kesbewa","Total No of Votes Polled",63840,71.51
"98",1988,"Colombo","Kesbewa","No of Registered Electors",89277,NA
"99",1988,"Colombo","Moratuwa","Mr.Ranasinghe Premadasa",31546,48.77
"100",1988,"Colombo","Moratuwa","Mrs.Sirimavo Ratwatte Dias Bandaranaike",29654,45.84
"101",1988,"Colombo","Moratuwa","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",3488,5.39
"102",1988,"Colombo","Moratuwa","Total No of Valid Votes",64688,98.51
"103",1988,"Colombo","Moratuwa","No of Rejected Votes",977,1.49
"104",1988,"Colombo","Moratuwa","Total No of Votes Polled",65665,67.81
"105",1988,"Colombo","Moratuwa","No of Registered Electors",96841,NA
"106",1988,"Colombo","Postal District Votes","Mr.Ranasinghe Premadasa",7248,44.09
"107",1988,"Colombo","Postal District Votes","Mrs.Sirimavo Ratwatte Dias Bandaranaike",8409,51.15
"108",1988,"Colombo","Postal District Votes","Mr.Ahangama Vithanage Oswin Nandimitra Abhayagunasekara",783,4.76
"109",1988,"Colombo","Postal District Votes","Total No of Valid Votes",16440,97.84
"110",1988,"Colombo","Postal District Votes","No of Rejected Votes",363,2.16
"111",1988,"Colombo","Postal District Votes","Total No of Votes Polled",16803,NA
"112",1988,"Colombo","Final District Results","Mr.Ranasinghe Premadasa",361337,49.14
